Medumba,French
mbàŋ,à côté
mbàŋlôkʉ',boiteux
mbὰtὰn,sorte de criquet périodique
mbǎzwə',reins
mba,puissance
mbabə,poussière
mbantsi,rose
mbaŋndɑ,mur
mbaŋndα,mur
mbap,poussière
mbomə,gâteau avec les arachides
mboŋə,jaune
mbwə,chèvre
mbwə̀,devant
mbwɔ̀,beauté
mbwôŋkà,poutre
mbwôŋntàd,poutre
mbwòŋtùn,anus
mbwogə,feu
mbwogcʉ,journée
mbwogngà,janvier
mbwognga,janvier
mbwogtswə',maladie qui ronge la peau
mfɔ,vache
mfʉ,astuce
mfà',travailleur
mfì',exemple
mfiα̌mfiα̌ mɛ̀n,personne malpropre
mfə̀'nkʉlə,trousse
mfə̌'tùn,pli fessier
mfə̌dnjʉ,soir
mfi'fu,dose
mfʉαg,froid
mfê'kù,espace entre deux orteils
mfʉ̌miαg,aveugle
mfà'mɛn,enfant adoptif
mfi'mbù',mesure de cerceuil
mfi'mfʉαg,thermomètre
mfə̀n,roi
mfə̀n,chef
mfα̌nnù,faute
mfɛ̌nntα̂nndʉb,vendredi
mfɛ̌nntα̂nnkə'ə,mardi
mfɛd,frère
mfɛd,sœur
mfôgnjʉ,matin
mfàgtə̀nzə̀,carrefour
mfɛlə,fratrie
mfʉm,hypocrisie
mfɛn,chef
mfunì,ressemblance
mfǒŋmbɛd,bousier
mfǎŋntsəlαg,narine
mfaŋə,plaie
mfogə,coépouse
mfom,burin
mí,siens
mínə́,vôtres
mú,tiens
múbə́,leurs
mvə̀',porte-monnaie
mvɛ̀d,corde
mvɛ̀n,dos
mvɛ̀nbu,revers de la main
mvɛd,huile
mvaŋə,blessure
nà,traitise
nî,ci
nu,boire
nù,problème
nα,là
nὰ,champ
nà',boeuf
nə̀,préfixe de l'infinitif
nə̀ cα̌bncù,injurier
nɔ̌ kunə,se coucher
nɔ̌ tu,faire des sacrifices
nə̀bǎ,teint bronzé
nə̀bə'ə,fracture
nə'bu'u,gâteau de pistache
nə̀bɛ̀nntamə,rechute
nə̀bebə,attente
nə̀bedni,douceur
nə̀câŋncə̀’,ver de terre
nə̀dum,chaud
nə̀junə,achat
nə̀kwesə,soulagement
nə̀lὰ,toile d'araignée
nə̀lɛ̌nnù,intelligence
nə̀lαnbà,teint clair
nə̀lòŋ,mal de l'aine
nə̀laŋhaŋe,rancune
nə̀mulə,enflure
nə̀nὰ,herbe
nɛ̌n ghù,abandonner le foyer
nə na kàg,punition très lourde
nə̀ndʉ̀,bave
nə̀ndiàŋ,bas-ventre
nə̀sə̀tə̌,entorse
nə̀siaŋe,lecture
nə̀sɛnə,teint noir
nə̀sɛnnzidtə,noir ciré
nə̀samə,hanneton des chaumes
nə̀tà',claie
nə̀tòb,boue
nə̀tǎg,difficile
nə̀tǎtu,entêtement
nə̀tsǐ’mα̂nja,sorte de petit grillon
nə̀tsìn,urine
nə̀yαbə,addition
nə̀ywɛ̀nə,vieillesse
nə̀zîla,huile sale
nə̀zənù,inelligence
nàb,arranger
nὰb,arrangeur
nâbαn,épouse
nὰbfu,pharmacien
nəcemə,sorte de plante à tubercule
nəca'a,castagnette
necaŋ,ombre
nùkô'ntʉ,engagé
nələmə,chauve-souris
nùm,sur
nùmfì,tombeau
numkə,pourquoi
nummbə,parce que
nǔnə̀tɔ̌ngɔ̀,politique
nənαfi,vert
nenen,vérité
nenune,vérité
nândα,mariage
nûndù',buveur
nǔngɔ̀,politque
nûntu',acte de mariage coutumier
nαntə̀,empressement
nəsɛ̂nmbwogə,tison
nəsɛn,noir
nətə' sogə,calebasse
nətu'kù,genou
nətαtùn,sorte de fourmis noires
neta,force
nəto,statue
na,préparer
nambɛnndα,qui n'est stable dans le mariage
ncà,affaire
ncò,guerre
ncu,bouche
ncù,bouche
ncʉ',un
ncʉ̀',arrêté
ncʉ̀' ngɔ̀,loi
ncʉ̀' nsi,commandement de dieu
ncʉα̌gncʉα̌g mɛ̀nnzwi,femme pouvant encore accoucher
ncʉα̌gncʉα̌g ngòn,fille vierge
ncʉ̀'kum,règlement interieur
ncuǎ’nkə̀mbə̀’,zone du dos  située sur les omoplates
ncuα̌tùn,sorte d’oiseau à longue plumes à la queue
ncô'cu,août
ncǒ diaŋ,course au pouvoir
ncɛ̀dmbʉ,puce du chien
ncɛ̀dna’,tique
ncɛ̀dngab,puce de volaille
ncɛ̀dngwa,puce
ncɛ̀dnzwə,pou d’habit
ncɛ̀dtu,pou de tête
ncô'fà',rétribution
ncʉ̀ju,envieux
ncǎ'miαg,conjonctivite
ncʉὰmbwə̀,aîné
ncα̂mntʉ,gourmandise
ncɛ̀n,perle
ncʉâŋcwɛn,mari
ncua,point
ncùb,impôt
ncɛd,couvercle
ncǒfɛn,guérilla
ncùncò,armée
ncùncʉ',accord
ncùndα,cour
ncùndα̂ŋwà'nì,cour de ŕecréation
ncàŋnìnyα,chaudes larmes
ncùsə,front
ncùtùn,anus
ncaŋ,bouteille
ncobə,langue
ncúndɑ,extérieur
ncwɛ̂dntom,pierre du foyer
ncwɛ̂dtùn,fesses
ncwɛ̂nfi,bois vert
ncwɛ̂nnjum,bois sec
ncwɛd,chefferie
ncwen,bois
ncwɛn,bois
ndɔ,corne
ndu,mari
ndʉ,frontière
ndα,maison
ndà',cadeau
ndʉ',force
ndʉ̀,bave
ndɔ̀ ndə̀bà',cigarette
ndɔ̂ vʉ,fil de personne au deuil
ndα̂bʉ,salle d'annonce
ndə̀bà',tabac
ndα̂bə̀fə̀,gendarmerie
ndα̂beb,salle d'attente
ndα̂bwə,salle d'accouchement
ndα̂càm,secrétariat
ndα̂ca,prison
ndα̂diaŋyən,salle de cinéma
ndʉ̌dùm,saison sèche
ndα̂fì',salle de pesée
ndα̂fôŋe,maison de la radio
ndα̂ghʉ̀n,auberge
ndα̂ghòn,salle d'hospitalisation
ndiàgncà,taquin
ndα̂kì,salle de dactylographie
ndα̂kəko'o,salle de pansement
ndè’koŋ,trésorier
ndα̂lὰm,usine
ndʉ̀m,vampire
ndα̂mbʉm,banque
ndα̂mbwogə,enfer
ndα̂mfu,salle de soins
ndα̂mfaŋe,salle pansement
ndα̂mvaŋə,salle de pansement
ndɛ̀n,pitié
ndα̂nə̀lɔtəngòkɛd,salle de consultation
ndα̂nùbαhα,salle d'urgence
ndα̂nǔnὰ,chambre d'agriculture
ndα̂n nkòg,avant-hier
ndα̂nǔntαnə,chambre de commerce
ndɛ̀nbα,psychiatre
ndɛ̀nbə̀n,anthropologue
ndɛ̂ncu,vocabulaire
ndα̂ncà,salle d'audience
ndα̂ncà ngɔ̌ngɔ̀,cour internationale de justice
ndɛ̀nca'a,géographe
ndα̂ndù',bar
ndɛ̀nghòn,médecin
ndɛ̀nghǒnnyὰm,vétérinaire
ndα̂nkʉ̀n,maison de la presse
ndα̂nkαb,banque
ndɛ̀nkʉlə,poète
ndɛ̀nkwì,musicien
ndɛ̀nmiαg,ophtalmologue
ndɛ̀nmàd,psychologue
ndɛ̀nmbwə,sage-femme
ndɛ̀nncʉα̂nə̀nὰ,herboriste
ndɛ̀nntsə'tə̀,sociologue
ndα̂nsi,église
ndα̂nsα,salle cabalistique
ndα̂ntʉ,poitrine
ndα̂nto,salle de piqûre
ndα̂ntoŋnkù,commissariat
ndα̂ŋwà’nì,salle de classe
ndʉ̌sαnə,saison des pluies
ndǔ'tûfì,boisson des fossoyeurs
ndǔ'vʉ,boisson du deuil
ndα̂vʉ,maison du deuil
ndiaŋ,bambou
ndəb,fil
ndùb mɛn,fils important
ndəbtu,fil à tresser
ndèdndèd,sorte de fourmi
ndâdnya',index
ndâdsogə,index
ndukà,fiancé
ndem,âme
ndαm,calomnie
ndumα,mari de la mère
ndùmndùm,mortier
ndǎmnjʉ,demain
ndâmvɛd,calebasse
ndencu,corps humain
ndûngòn,mari
ndǔnlὰm,marteau
ndâŋbu,avant-bras
ndâŋndaŋə,train
ndut,nuage
ndutu,violet
ndadndad,gris
ndo,se lever
ndoh,corne
ndod,brouillard
ndoŋə,awale
ndoŋncò,éloge
ngà,savane
ngɔ,monde
ngù,cadi
ngʉ,coeur
ngə',affliction
ngɔ̀,pays
ngʉ',autorité
ngə'ə,égoïste
ngû'u,grue
ngɔ̌ bὰmɛ̀n,patrie
ngə̀'ndα,jumeau
nguα̂nmɛ̀n,jeune
ngò'bàm,rat
ngα̌bnjʉ,semaine
ngα̂bnyὰm,biche
ngə̀dnì,parapluie
ngə̌dnì,parapluies
ngʉ̀dnì,affliction
ngə̀fələ,maïs
ngə̀laŋ,temps
ngα̂mbα,psychiatrie
ngα̂mbà',architecture
ngα̂mbə̀n,sociolgie
ngα̂mbə̀nwa,anthropologie
ngα̂mbwə,gynécologie
ngα̂mcu,sciences naturelle
ngα̂mcə',gynécologie
ngα̂mcɔ̀,histoire
ngα̂mced,hygiène
ngα̂mcug,sciences naturelles
ngα̂mca' fu',géographie économique
ngα̂mca' kob,géographie urbaine
ngα̂mca' lὰm,géographie industrielle
ngα̂mca' la',géographie rurale
ngα̂mca' nkαb,géographie économique
ngα̂mca' tʉsɔ,géographie urbaine
ngα̂mca'a,géographie
ngα̂mca'bə̀n,géographie humaine
ngα̂mca'cu,géographie physique
ngα̂mca'nὰ,géographie agricole
ngα̂mfu,science pharmaceutique
ngα̂mfà',droit social
ngα̂mghòn,médecine
ngα̂mkì,savoir
ngα̂mkʉlə,connaissance
ngα̂mkamə,études d'avocats
ngα̂mkwì,musique vocale
ngα̂mloŋə,musique instrumentale
ngα̂mmàd,psychologie
ngα̂mmàdngɔ̀,instruction civique
ngα̂mmbalə,géomorphologie
ngα̂mmfì',géométrie
ngα̂mmfàm,archéologie
ngα̂mnù,philosophie
ngα̂mnὰ,agronomie
ngα̂mnʉ̌nsi,philosophie de dieu
ngα̂mncà,sciences juridiques
ngα̂mncʉ̀',études de droits
ngα̂mncobə,linguistique
ngα̂mncobnsi,théologie
ngα̂mndə̀n,gynécologie
ngα̂mnjʉ,météorologie
ngα̂mnsi,mygale
ngα̂mnsa,astrologie
ngα̂mntʉ,phytologie
ngα̂mntʉnvə̀,géographie industrielle
ngα̂mntsə,hydrologie
ngα̌mntsə,caïman
ngα̂mŋwà'ni,scolastique
ngα̂msa'ngɔ̀,sciences politiques
ngα̂mtɔ̀ngɔ̀,sciences politiques
ngα̂mta,mathématiques
ngα̂mvə̀,technologie
ngα̂myòg,biologie
ngα̂mzənù,philosophie
ngʉ̀n,étranger
ngû'njʉ,année
ngʉ̀nmfə̀n,varicelle
ngα̂ntsə'tə̀,sociologie
ngʉ̀nyu,boa
ngâ'nyὰm,pangolin
ngʉ̌nyὰm,porc
ngâ'nzə̀,premier fils d'une famille
ngù'tʉ,année surpassée
ngɔ̂tà',escargot
ngɔ̌tɔ̀ngɔ̀,démocratie
ngʉ'tɔ̀ngɔ̀,tyranie
ngʉαyən,télévision
nguayen,téléviseur
ngùb,peau
ngebe,épaule
ngǔbmiαg,paupieres
ngὰbmo',semaine prochaine
ngubncu,lèvre
ngαbnjʉ diaŋtsi'i,semaine culturelle
ngâbntsə,canard
ngùbtu,cuir chevelu
ngὰbtʉ,semaine passée
ngubwud,peau
ngàcα̌bncù,arrogant
ngàcàgtə̀,directeur
ngàfà',ouvrier
ngàfid,arrogant
ngàfən,chanceux
ngàfa'tə̀,agité
ngàghòn,maladif
ngǒgmα̂ntə,perroquet
ngàju,possesseur
ngàjun,acheteur
ngàkà,guerisseur
ngǎkù,tendon d'achille
ngòkɛ̂dkwǐcù',cancer
ngòkɛ̂dmiα̂glo,maladie du sommeil
ngòkɛd,maladie
ngǎlə̀lə̀d,hirondelle
ngàlɛ̌nnsa,astrologue
ngǎləm,veine
ngùm,malchance
ngʉm,parabole
ngαmə,science
ngàmaŋ,adversaire
ngǔmmα̂tα,porc-épic
ngumo',année prochaine
ngòn,fille
ngαnə,fusil
ngǎncʉ' kum,status
ngǎncʉ' mɛ̀nnyǎŋtu,déclaration universel des droits de l'homme
ngǎncʉ' ngɔ̀,constitution
ngàncobtə̀,bavard
ngànkə̀mbαn,adversaire
ngànkəmbαn,ennemi
ngònmα,sœur utérine
ngòntα,sœur consanguine
ngǒntsə,poisson
ngʉnyὰmcwəd,sanglier
ngòŋ,bord
ngàŋwà'nì,élève
ngàsǒgnzwə,blanchisseur
ngâtɔ,ganglion
ngâtu,pintade
ngǎtǔnncʉ̀',fond des lois
ngàtsə̌'fì,fossoyeur
ngàtswìtə̀,enseignant
ngàvə̀,artiste
ngàvògtə̀,agité
ngàzi'tə̀,apprenant
ngàzwə̌zwə̀',bagarreur
nga,non
ngab,poule
ngamntαn,criquet
ngansα,cabaliste
ngantə,insoumis
nganwani,étudiant
ngo'o,termite
ngoked,maladie
ngon,fille
ngwʉ̀,sorte de plante à tubercule
ngwǎbà,goyave
ngwàd,bistouri
ngwàdmbwogə,flamme
ngwa,sel
ngwamǐndα,épouse
nju,temps
njù,pois de terre
njʉ,dehors
njʉ,monde
njʉ,temps
njʉ̀mbwə,mouton
njuὰnyὰm,cerf
njὰb,légume
njὰbià,fièvre jaune
njὰbcàca,légume sans compléments
njὰbkə̀nà,arachides fraîche avec les légumes
njὰbnə̀nu'tə̌,légumes cuit dans de l'huile
njâgcu,septembre
njàm,derrière
njὰm,hache
njàm ndǎmnjʉ,après-demain
njàmle'fitə̀,lundi
njàmnkù,mollet
njàmntα̂nnkə'ə,jeudi
njàmtu,nuque
njʉndα,successeur
njûnju,acheteur
njòŋ,quantité
njǒŋvogə,articulation
njamə,nuit
njo,dette
njwɛ̀n mɛ̀n,vieux
njwìdcu,mars
njwɛnə,tubercule séchée
nkà,rang
nkʉ,corde
nkà',lampe
nkò',table
nkɔ̀,rayon
nkʉα,raphia
nkə̀'kɛ̀d,boiteux
nkʉ̌'ndα,seuil de la porte
nkuǎ'nkuâ',concours
nkɔ̌ nyàm,rayon de soleil
nkɔ̌bαn,pilon
nkə̀b sofà',manche de houe
nkə̂bnjʉ,matin
nkʉ̌dngo'o,sorte d'ouvriers des termintes
nkə̀ke,bave sèche
nkə̀ku,canne à sucre
nkɔ̀kə̀bù',pilon
nkə̀lɔ̌vʉ,plantain du deuil
nkɔ̂miαg,gros yeux
nkə̀mbə̀',épaule
nkǒ'mbwə,étagère basse
nkʉ̌mbwogə,fil électrique
nkuαn,esclave
nkʉ̀n,message
nkà'nì,promesse
nkɔ̀nì,amour
nkù'nì,honneur
nkà'ncò,éloge
nkɔ̌ncò,balle de fusil
nkǒ'ndα,étagère
nkʉ̌ndα,généalogie
nkə̂njʉ,aurore
nkà'njumntə̀,rhumatisme
nkǒ'ntsə,pont
nkɔ̀ntsəlαg,nez
nkʉ̌nyàm,sans confiance
nkɔ̀tu,défi
nkə̀tu’u,soldat
nkib,ongle
nkαb,argent
nkαb ndα̂ŋwà'nì,frais de scolarité
nkibànyὰm,babouin
nkîbbu,ongle
nkîbkù,ongle
nkαbtɔ̀ngɔ̀,oligarchie
nkěcʉὰ,ceinture
nkʉd,devinette
nkêdbu,auriculaire
nkêdkù,auriculaire
nkêdntubu,auriculaire
nkǎfà',emploi du temps
nkàg,tam-tam
nkòg,hier
nkàgnὰ,février
nkὰgnì,sot
nkǎm ŋwà'nì,dossier
nkèmbè,varan
nkəmbαn,haine
nkǎmnkù,rhinocéros
nkùn,queue
nkὰn,nid
nkinə,lèpre
nkûn fogtab,haricot blanc
nkun nə̀katə,riz sauté
nkəndòŋə,calao
nkǎnja,défilé
nkunkə̀kʉα,dolique
nkǎnkǎwa’tsin,sorte de souris zébrée des champs
nkαnmαkè,singe
nkunnəno'o,petit haricot
nketu,militaire
nkəto'o,chaussure
nkamə,notable
nkaŋmiαg,sourcil
nkaŋnyὰm,cercopithèque
nkaŋtu,tempe
nkoŋ,coffres
nkwʉ̌bαn,tige à sève gluante
nkwebo,adjoint
nkwêbon,accoucheur
nkwêfoŋə,poste radio
nkwêmɛn,accoucheur
nkwìmbâ,célibataire
nkwàtə̀,pensée
nkwa,gong
nsi,dieu
nsɔ,dents
nsα,miracle
nshu cu,couleurs
nsâ'kə̀màd,variole
nshùm,fils
nsâ'mə̀kalə,varicelle
nshum mα,frère utérin
nsα̌mnə̀nὰ,fleur
nshùmtα,frère consanguin
nshun,ami
nsə'ngo'o,ouvriers des termites
nsə̂ntsə,hippopotame
nsə̂nyὰm,éléphant
nsògnzwə,blanchisseur
nsòkwa,annulaire
nsὰm,fleur
nsěmsaŋvə̀,aéroport
nsônὰ,mai
nsônα̌ndɔ,novembre
nsěnsě,lézard
nsὰntubu,majeur
nsôŋcɔ̀,bavard
nsòŋfoŋə,antenne
nsa,flanc
nsa'ngɔ̀,autorité
nsantoŋ,lapin
nsobnì,affliction
ntə,soumission
ntʉ,cœur
ntə’,vassal
ntu',gourde
ntʉ̂'njàm,cadet
ntə̀d,capital
ntǒ'kob,rossignol
ntɔ̂ndɔ,censeur
ntâ'nkù,vanité
ntα̂nndʉb,samedi
ntα̂nnkə'ə,mercredi
ntɔ̂tùn,anus
ntɑb,tente
ntûbu,doigt
ntàdncwɛn,grenier
ntαgə,conseil
ntûkù,orteil
ntàle'e,calendrier
ntòmbòd,abcés
ntàmfʉαg,congélateur
ntàmfitə̀,réfrigérateur
ntàmmbwə̀,cuisses
ntαmndoŋə,pomme de terre
ntûmnyàm,est
ntàmtə̀ cûncobə,groupe de mots
ntàmtə̀ ngɔ̌ngɔ̀,organisation des nations unies
ntàmtə̀ tswə̂ntʉ̀n ngɔ̌ngɔ̀,organisation mondiale de la santé
ntàmtə bon kamərun,union des populations du cameroun
ntàmtə ngɔ̌ kamerun,union nationale camerounaise
ntɛn,sud
ntαnə,marché
ntàncobə,dictionnaire
ntàndɛn,registre
ntôngə̀fələ,juillet
ntòngǒdməsaŋə,décembre
ntònkʉα,mamba vert
ntὰnntὰn,crampe
ntὰnnzə̀,piste
ntàntà,querelle
ntànywìn,congélateur
ntàŋmbwə,avril
ntàŋwà'nì,bibliothèque
nto,intestins
ntobnì,malheur
ntogə,six
ntoŋ,cou
ntsə,eau
ntsi,salive
ntsə̌mbàŋ,eau de pluie
ntsə̌mbwogə,essence
ntsə̌ntsə̌ fu,sirop
ntsə̌nyα,larme
ntsə̌ŋwà'nì,encre
ntsə’tə,réunion
ntsə'tə̀,association
ntsə̌wud,sperme
ntsìcwɛd,panier
ntsǐdmbàŋ,torrent
ntsəlαg,nez
ntsînyu,panaris
ntsìvʉ,cadeau de deuil
ntswə̀',plantoir
ntswə̀’,pioche
ntswə̀' tàŋbαhα,pioche
ntswə̂mə̀bwɔ,bonheur
nyu,serpent
nyα,abandonner
nyὰ,larme
nyâ'a,aubergine
nyì'tə̌,secouer
nyâdnyὰm,buffle
nyàm,soleil
nyὰm,animal
nyὰmdiaŋə,cheval
nyὰmna',boeuf
nyὰmntǒ’ntò’,papillons
nyûncwɛn,scolopendre
nyînnsɔ,prognathe
nyǎŋmiαg,cils
nyǎŋncù,barbe
nyǎŋtu,cheveux
nyad,buffle
nyamna',vache
nyamnsαtɔ,girafe
nyantu,cheveu
nyaŋ,poils
nywi,machette
nywin,tristesse
nywinə,suie
nywintə̀,espoir
nze,voix
nzì,envie
nzə',graine de courge
nzə̀,voix
nzə̂mbwogə,fumée
nzə̀ndα,porte
nzə̀nzə̀,mouche
nzə̀tɔ,gorge
nzəwud,vagin
nzwə,habits
nzwi,épouse
nzwì,panthère
nzwə̌'ndα,placard de la cuisine
nzwiαgə,virgule
nzwə̂kunə,drap
nzwə̂ncò,tenue militaire
nzwə̂ndα,armoire
nzwə̌ndα,armoire
nzwə̂ngû'u,drapeau
nzwə̂nkò',nappe
nzwə̂tɛ̌dndα,tapis
nzwìd,semence
nzwîghʉ̀n,dernière femme d'un polygame
nzwikà,fiancée
nzwîkamə,deuxième femme
nzwìmα̂ntɔ̀,panthère
nzwimɛn,belle-fille
nzwîmbwə,chèvre
nzwimni,punaise
nzwìn,fontanelle
nzwitα,femme du père
ŋ,oui
ŋ́,tiens
ŋ̂,oui
ŋ̌,pardon
ŋu'u,saleté
ŋû'ngǒŋkə̀tu'u,canari
ŋαbə,coller
ŋàm,dizaine
ŋ̀ŋ,peut-être
ŋàŋomə,hyène
ŋgwá,sel
ŋgwà,rangée
ŋŋ̀,non
ŋŋ̌,action de jurer
ŋwi,machette
ŋwʉ,mois
ŋwà',écrivain
ŋwâ'a,abeille
ŋwà'cɔ̀,historien
ŋwà'nì,lettre
ŋwà'nì bwə,acte de naissance
ŋwà'nì kwʉ,acte de décès
ŋwà'nì kwêntsə,attestation de baptême
ŋwà'nì laŋkʉlə,attestation d'une classe d'étude
ŋwà'nì nândα,acte de mariage
ŋwà'nì ncùb,titre d'impôt
ŋwà'nì nkʉ̌n ngὰb,hebdomadaire d'information
ŋwà'nì nkʉ̌n ŋwʉ,mensuel d'information
ŋwà'nì nkʉ̌nle'e,quotidien d'information
ŋwà'nì sə̂və̀,carte d'identité
ŋwà'nì swɛ̀n,acte de vente
ŋwà'nkʉ̀n,nouvelliste
ŋwǎ'ŋwa',multicolore
ŋwâgnkun,juin
ŋwâgnyàm,après-midi
ŋwàlə,ramasser
ŋwinŋwin,bleu
ŋwʉtʉ,sorte de formi
ŋwαyid,lion
ŋwa,cloche
ŋwatə̀,vaillance
o,tu
o zi ὰ?,bonjour
sá,mil
sǎ,verser
se,éplucher
sə,face
si,dieu
sɔ,dent
sû,ton
sə́,sa
sə̂,son
sə̄,que
sɔ̌,répudier une femme
se'e,venir
shù',cobra
sɔ̌ bàm,avorter
sɔ̌ vʉ,donner à manger au deuil
sə̂bə̀,notre
sə̀dghə',oreillons
shudnyὰmndα,lapin
shudnyam,lièvre
sα̂g,notre
sα̌lαg,taie
sα̂m,mon
sà'mbû'u,épervier
sə̀mbʉ̀n,manioc
sα̌mju,rien
sə̂n,ce
sɛ̂n,aujourd'hui
shunə,amitié
sɔ̀nə̀ya,maux de dents
sǒ ndɛn,enregistrer
shʉnmbαb,rat palmiste
siáŋ,lire
siâŋngɔ̂nὰ,alouette
sǎ vʉ,faire les funérailles
siag,bol
siaŋə,lire
sûb,leur
sὰbə,igname qui tend à être dur
sὰbὰsαbα,corossol
sòbntʉ,maladie qui pique le coeur
sèbtə̌,abréger
sîd,quel
sàdtu,peigne
sòg,savon
sògə,laver
sǒg sə,se laver
sǒg wud,se laver
sâgbàm,colique
sògnka,savon
sògnzwə,savon
sògwud,savon de toilette
sìk,éplucher
selə,minauder
sîlə,lequel
sαm,fleurir
sὰmə,fleurir
sǎm wud,s'étirer
sǎmbwogə,étincelle
sὰmmbάhα,sept
sîn,votre
sαnə,saison des pluies
səndîn,celui-là
sənnî,celui-ci
sənnα,celui-là
sɛnnî,aujourd'hui
sàŋ,dos du cou
sètə̌,diviser
sàtə̌ tu,déranger
sâtâmnkù,match de football
sâtam,match
sάgə́,notre
sάm,mon
sa,verser
sa' vʉ,donner des informations sur un deuil
salə,blennorragie
saŋə,oiseau
saŋngab,perdrix
saŋtə̀,fiévre
saŋtə̀bod,fièvre typhoïde
saŋtə̀wud,fièvre
saŋvə̀,avion
satə̀,gaieté
sínə́,votre
sofà',houe
sofa,houe
sogə,piment
soŋ vʉ,annoncer le deuil
sú,ton
súbə́,leur
swɛ̂dcaŋ,couvercle du canari
swɛ̀lə,accoucher du cadet d'un enfant
swɛ̀nə,vendre
swə̂nyu,vipère
swɛdtə̂nzə',sauce avec le pistache
swa,balai
swa nzə̀nzə̀,chasse-mouche
swadiaŋə,queue de cheval
swandɑ,balai
swandα,balai
swankùn,queue
swatə ntsə̌ vʉ,se soutenir pendand le deuil
tà,force
tə,poser
tɔ,cou
tu,tête
tʉ,arbre
tα,père
tα,monsieur
tɔ̀,vote
tɔ̌,commander
tɔ̌ bə̀nntʉ̀n,commander
tô' jûjʉ,salle à manger
tα̂ kà,docteur en médecine
tα̂ nândα,parrain
tα̂ ndα,président
tɔ̌ nkαb,gérer l'argent
tα̂ nkαb,grand-père
tə bu,alerter
tɔ̌bu,paume
tə bu tu,se méfier
tə bàkʉlə,corriger
tɛ̀d,milieu
tə diaŋ,être présent
tɛ̌dndα,sol
tɛ̀dtswə',nuit
tα̂fə,homme albinos
tα̂fà',chef de service
tô'fə̌'mbwogə,cuisine intérieure
tô'ghʉ̀n,chambre des invités
tô'jʉ,salle à manger
tû ju,en-tête
tα̂jàm,grand-père
tə ku,freiner une affaire
tɔ̌ku,paume
tɔ̌kù,face plantaire
tô'kə̀lɔ̀,rainette
tu'lə,embryon
tə lαg,convoiter
tô'mò',salon
tə miαg,vérifier
tû mba,régime de noix de palme
tɔ̌mbwogə,foyer
tô'mfʉαg,chambre à air
tə mfʉnə,être présent
tu'mvɛ̀n,bossu
tʉ́n,fer
tα̂n,cinq
tû nù,sujet d'une affaire
tʉ̀nə,guérir
tə̌ncə̀b,repas d'union
tà’ncoŋə,limace
tô'ndα,chambre
tα̂ndu,beau père
tα̂ndα,président d'une association
tα̂nkʉ̀d,proverbe
tα̌nnkʉα,ver de palmier
tə nsi,poser à terre
tû nsi,malchance
tα̂ntənə,ver de palmier à huile
tə̂ntsə,calebasse
tu'ntsə,embryon
tʉ̂nwud,constitution du corps
tα̂nyì,père des jumaux
tα̂nyǐ bʉ̀dncὰb,père de trois jumeaux ou plus
tô'nywin,chambre froide
tə tu,s'appliquer
tɔ̀tə̀,discrimination
tə tùn,s'enraciner
tə vʉ,commencer à pleurer
tô'zi,chambre à coucher
tα zə̀ ndʉb,grand-père
tûbà',toit
tǎb ndα,être célibataire
tɑb ntsə,goutte d'eau
tαb ntsə,goutte d'eau
tὰbtə̀,mélange
tùbtùb,moulin
tαdu,frère du mari
tûdʉn,dangereux
tǒdlαg,borgne
tûfà',métier
tàgə,s'absenter
tǎg mɛ̀nnzwi,détourner une fiancée
tâgbǒ'lɛnə,gâteau de maïs avec courge
tâgkə̀nà,gâteau de maïs avec les arrachides
tâgmfǔku'u,gâteau de maïs et de feuilles de makabo
tâgnə̀tònə,gâteau de maïs cuit sous la cendre
tâgnkun,gâteau de maïs avec le haricot
tʉkò',echelle
tûkə̀kwi',genou
tûkə̀kwi’,genou
tum,envoyer
tαmə,pomme de terre
tûm ghâtswə',sortir de bonne heure
tum nândα,divorcer
tûm tswə',sortir de bonne heure
tâmcɛd,tennis
tûmlam,exception
tαmmə̀kalə,pomme de terre
tâmmbu,handball
tàmmbwə̀,cuisse
tαmnə̀tswə'ə,pomme pilée
tûmngɔ̀,village
tâmnkù,football
tâmnkʉ,volley
tâmntsì,basketball
tâmsà’,sorte d’épervier
tαmtʉ,fruit
tàmtə̂kə̀lɔ̀,banane cuite
tùn,début
tənə,palmier
tònə,mettre au feu
tʉnə,clou
tǔnbu,coude
tʉnbà,cuivre
tàncù,dispute
tɔndɑ,fenêtre
tɔndα,fenêtre
tûndα,lieu en altitude
tǔnfə̀n,dynastie royale
tôngə',joue creuse
tûngɔ̀,nord du pays
tὰngαmngαmə,araignée
tênkʉ,frère des jumeaux
tǔnkù,talon
tûnkʉ̌'ndα,partie du cadre de la porte
tǔnkə̀lɔ̀,bananier
tǔnncù,menton
tǔnncʉ̀',constitution
tǔnncʉ̀' mɛ̀nnyǎŋtu,déclaration universelle des droits de l'homme
tǔnncʉ' kum,status
tǔnndα,famille
tǔnnjʉ,horizon
tʉnnkαb,argent
tʉnntswə'ə,complément d'effectif
tənsaŋə,caille
tɛntə,pousser
tʉntə,compter
tòntə̌,brûler
tʉntə̀,nombres
tɔntsə,puits
tαntsə,grenouille
tʉnyàg,plomb
tαnyǎshʉ',haricot noir
tαnyǎshʉ’,haricot noir
tàŋ,partie
tòŋ,oreille
tǎŋfà',district
tǎŋkob,ville
tǎŋla',quartier
tòŋnə̀ya,otite
tǎŋngɔ̀,arrondissement
tôŋnzə̀,route
tàŋtʉsɔ,quartier
